Datetime,USGS_flow,variable,USGS_ID,measurement_unit,qualifiers,series
2001-04-12,106.80556,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-04-13,104.770836,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-04-14,100.6875,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-04-15,103.03125,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-04-16,103.645836,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-04-17,129.29167,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-04-18,167.76042,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-04-19,194.34375,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-04-20,181.19792,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-04-21,150.95833,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-04-22,141.36458,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-04-23,126.46875,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-04-24,118.520836,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-04-25,124.59375,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-04-26,115.927086,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-04-27,113.802086,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-04-28,113.427086,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-04-29,114.802086,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-04-30,118.8125,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-01,113.260414,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-02,108.072914,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-03,103.572914,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-04,99.229164,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-05,95.375,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-06,91.5,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-07,88.052086,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-08,85.375,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-09,83.791664,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-10,83.114586,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-11,70.416664,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-12,67.927086,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-13,68.177086,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-14,66.583336,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-15,67.427086,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-16,81.6875,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-17,109.760414,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-18,84.28125,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-19,72.40625,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-20,66.833336,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-21,59.729168,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-22,56.25,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-23,56.09375,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-24,54.885418,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-25,54.364582,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-26,52.375,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-27,50.25,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-28,50.604168,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-29,53.020832,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-30,56.65625,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-05-31,49.666668,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-06-01,47.791668,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-06-02,46.822918,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-06-03,46.75,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-06-04,48.84375,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-06-05,45.729168,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-06-06,46.010418,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-06-07,46.958332,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-06-08,45.052082,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-06-09,42.114582,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-06-10,44.625,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-06-11,45.28125,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-06-12,45.364582,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-06-13,55.291668,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-06-14,64.8125,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-06-15,65.927086,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-06-16,58.083332,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-06-17,52.385418,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-06-18,49.21875,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-06-19,47.510418,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-06-20,45.791668,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-06-21,45.84375,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-06-22,43.958332,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-06-23,40.864582,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-06-24,40.125,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-06-25,38.84375,streamflow,13063000,ft3/s,"['A', '[91]']",0
2001-06-26,38.03125,streamflow,13063000,ft3/s,"['A', '[91]']",0
