Datetime,USGS_flow,variable,USGS_ID,measurement_unit,qualifiers,series
1990-10-01,174.0,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-02,174.0,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-03,155.27083,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-04,145.0,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-05,145.0,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-06,145.0,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-07,145.625,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-08,129.59375,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-09,67.333336,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-10,67.822914,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-11,49.270832,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-12,59.0,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-13,59.989582,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-14,3.9825,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-15,0.43604165,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-16,0.4290625,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-17,0.4103125,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-18,0.39104167,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-19,0.5466667,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-20,0.42854166,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-21,0.40510416,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-22,0.39,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-23,0.42157894,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-24,0.44,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-25,0.46307692,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-26,0.490625,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-27,0.49,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-28,0.48630434,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-29,0.5,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-10-30,0.50875,streamflow,10132000,ft3/s,"['A', '[91]']",0
